Number,Title
1,' Are women grateful to be here or do women kick ass?' #Sportskongres2020:
2,"""As Black as Ink"": A Case of Alkaptonuria-Associated Myelopathy and a Review of the Literature:"
3,"""Ballistic Six"" Upper-Extremity Plyometric Training for the Pediatric Volleyball Players:"
4,"""beet"" the cold: Beetroot juice supplementation improves peripheral blood flow, endothelial function, and anti-inflammatory status in individuals with Raynaud's phenomenon:"
5,"""found Down"" Compartment Syndrome: Experience from the Front Lines of the Opioid Epidemic:"
6,"""muscle memory"" not mediated by myonuclear number? Secondary analysis of human detraining data:"
7,"""Sit Up Straight"": Time to Re-evaluate:"
8,"""You can't just erase history"": Coping with team identity threat:"
9,#REDS (Relative Energy Deficiency in Sport): Time for a revolution in sports culture and systems to improve athlete health and performance:
10,(Re)conceptualizing institutional change in sport management contexts: the unintended consequences of sport organizations’ everyday organizational life:
11,(Re)examining the effects of athlete brand image (ABI) on psychological commitment: an empirical investigation using structural equation modelling (SEM) and fuzzy set qualitative comparative analysis (fsQCA):
12,‘European-ness’ in social responsibility and sport management research: anchors and avenues:
13,‘Worse than death’ and waiting for a joint arthroplasty:
14,"“Arrogant, ungrateful, anti-American degenerates”: Development and initial validation of the Attitudes Toward Athlete Activism Questionnaire (ATAAQ):"
15,“How are running shoes assessed? A systematic review of characteristics and measurement tools used to describe running footwear”:
16,“If people are wearing pink stuff they're probably not real fans”: Exploring women's perceptions of sport fan clothing:
17,“I'm a completely different person now”: Extraordinary experiences and personal transformations in sport:
18,“I'm just too busy to exercise”: Reframing the negative thoughts associated with exercise-related cognitive errors:
19,"“It's not about sport, it's about you”: An interpretative phenomenological analysis of mentoring elite athletes:"
20,"“Look, Your Muscles Are Firing!”: A Qualitative Study of Clinician Perspectives on the Use of Surface Electromyography in Neurorehabilitation:"
21,“Macro-structure” of developmental participation histories and “micro-structure” of practice of German female world-class and national-class football players:
22,“N-of-1”—Study: A concept of acute and chronic stress research using the example of ballroom dancing:
23,“Postage Stamp” Fractures: A Systematic Review of Patient and Suture Anchor Profiles Causing Anterior Glenoid Rim Fractures After Bankart Repair:
24,“She is where I'd want to be in my career”: Youth athletes’ role models and their implications for career and identity construction:
25,“The process isn't a case of report it and stop”: Athletes’ lived experience of whistleblowing on doping in sport:
26,“The zipper effect”: Exploring the interrelationship of mental toughness and self-compassion among Canadian elite women athletes:
27,“We want more diversity but…”: Resisting diversity in recreational sports clubs:
28,"1.5 mile run time and body mass predict 8 mile loaded march performance, irrespective of sex:"
29,10 years on time–motion and motor actions of paired mixed martial arts athletes:
30,"15 years of the Scandinavian knee ligament registries: lessons, limitations and likely prospects:"
31,1D network simulations for evaluating regional flow and pressure distributions in healthy and asthmatic human lungs:
32,2018 AOA Presidential Address: Developing Leaders and Training Thoroughbreds: AOA Critical Issues:
33,2018 Frank Stinchfield Award: Spinopelvic Hypermobility Is Associated with an Inferior Outcome after THA: Examining the Effect of Spinal Arthrodesis:
34,2018 John Charnley Award: Analysis of US Hip Replacement Bundled Payments: Physician-initiated Episodes Outperform Hospital-initiated Episodes:
35,2018 John N. Insall Award: Recovery of Knee Flexion with Unsupervised Home Exercise Is Not Inferior to Outpatient Physical Therapy after TKA: A Randomized Trial:
36,2019 Chitranjan S. Ranawat Award: Elective joint arthroplasty outcomes improve in malnourished patients with nutritional intervention: A prospective population analysis demonstrates a modifiable risk factor:
37,2019 Frank Stinchfield Award: A comparison of prosthetic joint infection rates between direct anterior and non-anterior approach total hip arthroplasty:
38,2019 ISSLS Wiltse Lifetime Achievement Award:
39,2019 John Charnley Award: Increased risk of prosthetic joint infection following primary total knee and hip arthroplasty with the use of alternative antibiotics to cefazolin:
40,2019 john insall award: Fructosamine is a better glycaemic marker compared with glycated haemoglobin (HbA1C) in predicting adverse outcomes following total knee arthroplasty: A prospective multicentre study:
41,2019 Mark Coventry Award: A multicentre randomized clinical trial of tranexamic acid in revision total knee arthroplasty: Does the dosing regimen matter?:
42,24-h Movement and Nonmovement Behaviors in Older Adults. The IMPACT65+ Study:
43,"30-and 90-Day Unplanned Readmission Rates, Causes, and Risk Factors after Cervical Fusion: A Single-Institution Analysis:"
44,"30-day Mortality Following Surgery for Spinal Epidural Abscess: Incidence, Risk Factors, Predictive Algorithm, and Associated Complications:"
45,3D dSTORM imaging reveals novel detail of ryanodine receptor localization in rat cardiac myocytes:
46,3D strain in native medial meniscus is comparable to medial meniscus allograft transplant:
47,3D-MRI combined with signal-to-noise ratio measurement can improve the diagnostic accuracy and sensitivity in evaluating meniscal healing status after meniscal repair:
48,5-HT2A receptor activation enhances NMDA receptor-mediated glutamate responses through Src kinase in the dendrites of rat jaw-closing motoneurons:
49,5-Year Survival of Pediatric Anterior Cruciate Ligament Reconstruction With Living Donor Hamstring Tendon Grafts:
50,8-Week Basic Military Training Improves Adiponectin Multimer Ratio in Healthy Young Males:
51,90-day Readmission in Elective Primary Lumbar Spine Surgery in the Inpatient Setting: A Nationwide Readmissions Database Sample Analysis:
52,A 10% Increase in Step Rate Improves Running Kinematics and Clinical Outcomes in Runners With Patellofemoral Pain at 4 Weeks and 3 Months:
53,A 11-day compressed overload and taper induces larger physiological improvements than a normal taper in elite cyclists:
54,A 12-year cohort study of DOC-stoppage in professional mixed martial arts:
